id,agemonths,ageyears,age,sex,order,boxtype,order3,trialno,side,response,correct,passedpretest
27,45.90131579,3.825109649,3,m,penfirst,blue-right,pretest,1,L,R,0,no
27,45.90131579,3.825109649,3,m,penfirst,blue-right,pretest,2,L,L,1,no
27,45.90131579,3.825109649,3,m,penfirst,blue-right,pretest,3,R,L,0,no
27,45.90131579,3.825109649,3,m,penfirst,blue-right,pretest,4,R,R,1,no
27,45.90131579,3.825109649,3,m,penfirst,blue-right,pretest,5,L,L,1,no
30,38.83552632,3.23629386,3,f,stickerfirst,blue-right,pretest,1,L,R,0,no
30,38.83552632,3.23629386,3,f,stickerfirst,blue-right,pretest,2,R,L,0,no
30,38.83552632,3.23629386,3,f,stickerfirst,blue-right,pretest,3,L,R,0,no
30,38.83552632,3.23629386,3,f,stickerfirst,blue-right,pretest,4,R,L,0,no
30,38.83552632,3.23629386,3,f,stickerfirst,blue-right,pretest,5,R,L,0,no
37,39.47368421,3.289473684,3,f,stickerfirst,pink-right,pretest,1,L,R,0,no
37,39.47368421,3.289473684,3,f,stickerfirst,pink-right,pretest,2,R,L,0,no
37,39.47368421,3.289473684,3,f,stickerfirst,pink-right,pretest,3,L,R,0,no
37,39.47368421,3.289473684,3,f,stickerfirst,pink-right,pretest,4,R,R,1,no
37,39.47368421,3.289473684,3,f,stickerfirst,pink-right,pretest,5,R,L,0,no
44,42.36184211,3.530153509,3,f,stickerfirst,pink-right,pretest,1,L,R,0,no
44,42.36184211,3.530153509,3,f,stickerfirst,pink-right,pretest,2,R,R,1,no
44,42.36184211,3.530153509,3,f,stickerfirst,pink-right,pretest,3,L,L,1,no
44,42.36184211,3.530153509,3,f,stickerfirst,pink-right,pretest,4,R,L,0,no
44,42.36184211,3.530153509,3,f,stickerfirst,pink-right,pretest,5,L,L,1,no
47,42.32894737,3.527412281,3,f,stickerfirst,pink-right,pretest,1,L,R,0,no
47,42.32894737,3.527412281,3,f,stickerfirst,pink-right,pretest,2,R,L,0,no
47,42.32894737,3.527412281,3,f,stickerfirst,pink-right,pretest,3,L,L,1,no
47,42.32894737,3.527412281,3,f,stickerfirst,pink-right,pretest,4,R,R,1,no
47,42.32894737,3.527412281,3,f,stickerfirst,pink-right,pretest,5,R,R,1,no
50,37.80263158,3.150219298,3,f,penfirst,pink-right,pretest,1,L,R,0,no
50,37.80263158,3.150219298,3,f,penfirst,pink-right,pretest,2,R,L,0,no
50,37.80263158,3.150219298,3,f,penfirst,pink-right,pretest,3,L,L,1,no
50,37.80263158,3.150219298,3,f,penfirst,pink-right,pretest,4,L,R,0,no
50,37.80263158,3.150219298,3,f,penfirst,pink-right,pretest,5,R,R,1,no
51,38.60526316,3.217105263,3,f,penfirst,pink-right,pretest,1,L,R,0,no
51,38.60526316,3.217105263,3,f,penfirst,pink-right,pretest,2,R,R,1,no
51,38.60526316,3.217105263,3,f,penfirst,pink-right,pretest,3,L,R,0,no
51,38.60526316,3.217105263,3,f,penfirst,pink-right,pretest,4,R,R,1,no
51,38.60526316,3.217105263,3,f,penfirst,pink-right,pretest,5,L,L,1,no
61,54.19736842,4.516447368,4,m,penfirst,blue-right,pretest,1,L,R,0,no
61,54.19736842,4.516447368,4,m,penfirst,blue-right,pretest,2,R,L,0,no
61,54.19736842,4.516447368,4,m,penfirst,blue-right,pretest,3,R,R,1,no
61,54.19736842,4.516447368,4,m,penfirst,blue-right,pretest,4,L,L,1,no
61,54.19736842,4.516447368,4,m,penfirst,blue-right,pretest,5,L,L,1,no
68,49.90131579,4.158442982,4,f,stickerfirst,blue-right,pretest,1,L,R,0,no
68,49.90131579,4.158442982,4,f,stickerfirst,blue-right,pretest,2,R,L,0,no
68,49.90131579,4.158442982,4,f,stickerfirst,blue-right,pretest,3,L,R,0,no
68,49.90131579,4.158442982,4,f,stickerfirst,blue-right,pretest,4,R,R,1,no
68,49.90131579,4.158442982,4,f,stickerfirst,blue-right,pretest,5,L,L,1,no
74,41.13157895,3.427631579,3,m,penfirst,blue-right,pretest,1,L,L,1,no
74,41.13157895,3.427631579,3,m,penfirst,blue-right,pretest,2,R,L,0,no
74,41.13157895,3.427631579,3,m,penfirst,blue-right,pretest,3,R,L,0,no
74,41.13157895,3.427631579,3,m,penfirst,blue-right,pretest,4,L,L,1,no
74,41.13157895,3.427631579,3,m,penfirst,blue-right,pretest,5,R,L,0,no
81,37.28,3.11,3,f,penfirst,pink-right,pretest,1,L,R,0,no
81,37.28,3.11,3,f,penfirst,pink-right,pretest,2,R,L,0,no
81,37.28,3.11,3,f,penfirst,pink-right,pretest,3,R,R,1,no
81,37.28,3.11,3,f,penfirst,pink-right,pretest,4,L,R,0,no
81,37.28,3.11,3,f,penfirst,pink-right,pretest,5,L,L,1,no
86,40.24342105,3.353618421,3,f,penfirst,blue-right,pretest,1,L,R,0,no
86,40.24342105,3.353618421,3,f,penfirst,blue-right,pretest,2,R,L,0,no
86,40.24342105,3.353618421,3,f,penfirst,blue-right,pretest,3,R,R,1,no
86,40.24342105,3.353618421,3,f,penfirst,blue-right,pretest,4,L,L,1,no
86,40.24342105,3.353618421,3,f,penfirst,blue-right,pretest,5,R,R,1,no
95,37.86842105,3.155701754,3,m,penfirst,blue-right,pretest,1,L,R,0,no
95,37.86842105,3.155701754,3,m,penfirst,blue-right,pretest,2,R,R,1,no
95,37.86842105,3.155701754,3,m,penfirst,blue-right,pretest,3,L,R,0,no
95,37.86842105,3.155701754,3,m,penfirst,blue-right,pretest,4,R,R,1,no
95,37.86842105,3.155701754,3,m,penfirst,blue-right,pretest,5,R,R,1,no
101,56.36184211,4.696820175,4,m,penfirst,pink-right,pretest,1,L,L,1,no
101,56.36184211,4.696820175,4,m,penfirst,pink-right,pretest,2,R,L,0,no
101,56.36184211,4.696820175,4,m,penfirst,pink-right,pretest,3,R,L,0,no
101,56.36184211,4.696820175,4,m,penfirst,pink-right,pretest,4,L,L,1,no
101,56.36184211,4.696820175,4,m,penfirst,pink-right,pretest,5,R,R,1,no
102,50.13157895,4.177631579,4,m,penfirst,pink-right,pretest,1,L,L,1,no
102,50.13157895,4.177631579,4,m,penfirst,pink-right,pretest,2,R,L,0,no
102,50.13157895,4.177631579,4,m,penfirst,pink-right,pretest,3,L,L,1,no
102,50.13157895,4.177631579,4,m,penfirst,pink-right,pretest,4,R,L,0,no
102,50.13157895,4.177631579,4,m,penfirst,pink-right,pretest,5,R,L,0,no
